,Creation Time,Latency,Arrival Time,Source,Destination,Block ID,QueueTime,TxTime,PropTime,Block Index
374,0.0,0.4891064845347641,0.4891064845347641,"Los Angeles, California, US","Malaga, Spain",1_0_0,0.0018695320302523086,0.007930716819833365,0.47930623568467823,0
107,0.0012799072596196013,0.34677206083425877,0.3480519680938784,"Los Angeles, California, US","Malaga, Spain",1_0_1,9.732353265615125e-05,0.005699183245300188,0.34097555405630237,1
133,0.0013772307922757525,0.36106936860934824,0.362446599401624,"Los Angeles, California, US","Malaga, Spain",1_0_2,0.0004259004958025007,0.0058782974365522685,0.35476517067699337,2
61,0.0018031312880782532,0.29460270770456526,0.2964058389926435,"Los Angeles, California, US","Malaga, Spain",1_0_3,0.0008573403475617156,0.004878657427652507,0.2888667099293511,3
2,0.002580603308317296,0.1509206086289521,0.1535012119372694,"Los Angeles, California, US","Malaga, Spain",1_0_4,0.0011611251156079545,0.0022628790160351183,0.14749660449730903,4
603,0.0037417284239252505,0.5840328503201951,0.5877745787441204,"Los Angeles, California, US","Malaga, Spain",1_0_5,2.815480450007622e-05,0.009333477389208443,0.5746712181264864,5
15,0.0037696240678220805,0.21237825521711254,0.21614787928493462,"Los Angeles, California, US","Malaga, Spain",1_0_6,0.0011151178938520745,0.003468891506220184,0.20779424581704034,6
261,0.004884741961674155,0.4357796327538018,0.440664374715476,"Los Angeles, California, US","Malaga, Spain",1_0_7,0.0006296011184933371,0.007088816622733874,0.4280612150125745,7
255,0.005427283952396753,0.4329472572274621,0.43837454117985886,"Los Angeles, California, US","Malaga, Spain",1_0_8,0.0008217194479195333,0.0069631398720484995,0.4251623979074938,8
616,0.0062490034003162866,0.5867054984112807,0.592954501811597,"Los Angeles, California, US","Malaga, Spain",1_0_9,0.0020000362800403626,0.009343615093399637,0.5753618470378409,9
222,0.007869491691374183,0.4167879964069198,0.424657488098294,"Los Angeles, California, US","Malaga, Spain",1_0_10,0.00037774508386927835,0.0066157424793672395,0.4097945088436833,10
418,0.008247236775243461,0.5011705762052734,0.5094178129805168,"Los Angeles, California, US","Malaga, Spain",1_0_11,0.001184052479164404,0.0080372732144645,0.49194925051164456,11
348,0.009431289254407865,0.4679856237057149,0.4774169129601228,"Los Angeles, California, US","Malaga, Spain",1_0_12,0.002100104236041872,0.007471812945781596,0.45841370652389124,12
85,0.011531393490449737,0.31380188787315616,0.3253332813636059,"Los Angeles, California, US","Malaga, Spain",1_0_13,0.00029043825682490733,0.0050837339171072495,0.308427715699224,13
327,0.011620676360911015,0.4572116324801139,0.46883230884102495,"Los Angeles, California, US","Malaga, Spain",1_0_14,4.001866323297132e-05,0.007402970591894445,0.4497686432249863,14
375,0.011660695024143986,0.4777874840440302,0.48944817906817417,"Los Angeles, California, US","Malaga, Spain",1_0_15,0.00018696992565620137,0.007610391727539267,0.46999012239083454,15
601,0.011847664949800187,0.575399363162091,0.5872470281118911,"Los Angeles, California, US","Malaga, Spain",1_0_16,0.0022172282570673673,0.00925736061730388,0.5639247742877197,16
338,0.013962120020671051,0.460560135268987,0.474522255289658,"Los Angeles, California, US","Malaga, Spain",1_0_17,0.003449740925381672,0.0074208357808297366,0.4496895585627754,17
29,0.01714395289341812,0.230943644892965,0.24808759778638312,"Los Angeles, California, US","Malaga, Spain",1_0_18,0.001165222795273705,0.003683428449496268,0.22609499364819513,18
151,0.018309175688691826,0.35840430507223386,0.3767134807609257,"Los Angeles, California, US","Malaga, Spain",1_0_19,0.0001974261479964906,0.005706655879560094,0.3525002230446771,19
743,0.018327717024723203,0.6196486055638368,0.6379763225885601,"Los Angeles, California, US","Malaga, Spain",1_0_20,0.0017376857492215694,0.010011886102861309,0.6078990337117537,20
78,0.01972088246500083,0.29441660266663255,0.31413748513163336,"Los Angeles, California, US","Malaga, Spain",1_0_21,0.0047108058707210215,0.004635627162695739,0.28507016963321574,21
22,0.024238602150605477,0.21191299798962954,0.236151600140235,"Los Angeles, California, US","Malaga, Spain",1_0_22,0.0005967100133450788,0.003411861056150167,0.20790442692013433,22
23,0.024835312163950556,0.21537003323029133,0.24020534539424188,"Los Angeles, California, US","Malaga, Spain",1_0_23,0.000483773175616254,0.0034557868940160363,0.21143047316065908,23
7,0.02518448320985825,0.17282043997521673,0.19800492318507498,"Los Angeles, California, US","Malaga, Spain",1_0_24,0.0003409019128471705,0.0026090752472515606,0.16987046281511808,24
176,0.02552538512270542,0.36950490594787433,0.39503029107057974,"Los Angeles, California, US","Malaga, Spain",1_0_25,0.00016946333725235616,0.005977680607354739,0.3633577620032671,25
689,0.025665312155257514,0.5916269681163446,0.6172922802716021,"Los Angeles, California, US","Malaga, Spain",1_0_26,0.0002282473736582094,0.009552600621280409,0.5818461201214054,26
925,0.025684957859623245,0.6825910203984263,0.7082759782580496,"Los Angeles, California, US","Malaga, Spain",1_0_27,0.001322236986164578,0.011024869492445749,0.670243913919816,27
809,0.02682591408075839,0.6373830507958932,0.6642089648766516,"Los Angeles, California, US","Malaga, Spain",1_0_28,0.00041484776226830347,0.010356870697721798,0.6266113323359024,28
62,0.02706477852208243,0.2694166906785267,0.29648146920060914,"Los Angeles, California, US","Malaga, Spain",1_0_29,0.00047188271277986277,0.004355796805907691,0.2645890111598392,29
264,0.027374807896713545,0.4147069079926663,0.44208171588937983,"Los Angeles, California, US","Malaga, Spain",1_0_30,5.607951806818959e-05,0.006793719453211963,0.407857109021386,30
