,Creation Time,Latency,Arrival Time,Source,Destination,Block ID,QueueTime,TxTime,PropTime,Block Index
154,0.005060366710382895,0.236799296675835,0.2418596633862179,"Malaga, Spain",Mauritius,0_10_14,0.0013316600279187525,0.003197143508007677,0.2322704931399086,14
1055,0.006238878046821005,0.41050290019019686,0.41674177823701786,"Malaga, Spain",Mauritius,0_10_15,5.5284042481206115e-05,0.00553485408911759,0.40491276205859794,15
409,0.006285430463215767,0.30047300098893426,0.30675843145215004,"Malaga, Spain",Mauritius,0_10_16,0.0011594303613155716,0.004050841248426193,0.29526272937919235,16
129,0.007387915098831141,0.22535439719242542,0.23274231229125655,"Malaga, Spain",Mauritius,0_10_17,0.0003989973738214563,0.003072865389613125,0.2218825344289909,17
853,0.007786912472652598,0.37326015740634977,0.3810470698790024,"Malaga, Spain",Mauritius,0_10_18,0.0006166114646164109,0.004965993203551552,0.36767755273818153,18
282,0.008403523937269008,0.27060260978771544,0.27900613372498445,"Malaga, Spain",Mauritius,0_10_19,0.00019855562027398278,0.0036434890116440488,0.2667605651557975,19
1069,0.008602079557542991,0.41114398501045774,0.41974606456800073,"Malaga, Spain",Mauritius,0_10_20,0.0006075514427123611,0.005561876712635934,0.404974556855109,20
126,0.009209631000255352,0.22057001813373997,0.22977964913399532,"Malaga, Spain",Mauritius,0_10_21,2.3288665039301187e-05,0.002976259779354531,0.2175704696893462,21
136,0.00921929852092296,0.2254950095691865,0.23471430809010946,"Malaga, Spain",Mauritius,0_10_22,0.0009775247621683636,0.0031118103064710716,0.22140567450054716,22
1065,0.00994570009546378,0.4090910550463861,0.4190367551418499,"Malaga, Spain",Mauritius,0_10_23,0.000722270067111298,0.005577870145346951,0.40279091483392754,23
284,0.010667970162575077,0.26851258696732655,0.27918055712990164,"Malaga, Spain",Mauritius,0_10_24,0.00017238359842155528,0.003722039651027335,0.26461816371787766,24
255,0.010840353760996633,0.2609586011194637,0.2717989548804603,"Malaga, Spain",Mauritius,0_10_25,0.0008156257967292784,0.003534533310795862,0.2566084420119386,25
191,0.011655979557725911,0.2423663178871607,0.25402229744488664,"Malaga, Spain",Mauritius,0_10_26,5.706545786443411e-05,0.0033389943749065555,0.23897025805438982,26
1326,0.011713045015590345,0.45955195083676226,0.4712649958523526,"Malaga, Spain",Mauritius,0_10_27,0.0003111267913391263,0.006364011572031293,0.4528768124733917,27
1201,0.012024171806929471,0.43383183627637645,0.44585600808330594,"Malaga, Spain",Mauritius,0_10_28,0.0012530986378676001,0.00577891783985235,0.4267998197986562,28
127,0.013277270444797071,0.2166081811666885,0.22988545161148558,"Malaga, Spain",Mauritius,0_10_29,0.0001245447965210946,0.0029089958393797555,0.21357464053078773,29
1187,0.013401815241318166,0.4298016091048719,0.4432034243461901,"Malaga, Spain",Mauritius,0_10_30,0.0001985475582493481,0.005809461192675242,0.4237936003539473,30
879,0.013563465695295165,0.37259599359327844,0.3861594592885736,"Malaga, Spain",Mauritius,0_10_31,0.00057717973027583,0.005052657353810188,0.3669661565091923,31
470,0.013917761375877323,0.3049246671596848,0.3188424285355621,"Malaga, Spain",Mauritius,0_10_32,8.311052694078176e-05,0.004173237203938579,0.30066831942880545,32
10,0.014000871902818105,0.11870575371229534,0.13270662561511345,"Malaga, Spain",Mauritius,0_10_33,0.0004661057614167418,0.0015911833395267382,0.11664846461135189,33
995,0.014466977664234847,0.39324569186644714,0.40771266953068197,"Malaga, Spain",Mauritius,0_10_34,0.00017875513024496678,0.005365356015832142,0.38770158072037,34
542,0.01452352264589327,0.3164804706931111,0.3310039933390044,"Malaga, Spain",Mauritius,0_10_35,0.000294395005950774,0.004292969697113583,0.3118931059900467,35
1519,0.0148034938659471,0.5082760192429091,0.5230795131088563,"Malaga, Spain",Mauritius,0_10_36,0.000690420310051525,0.006762819780941886,0.5008227791519153,36
1625,0.015424411840806862,0.5345986297658907,0.5500230416066976,"Malaga, Spain",Mauritius,0_10_37,0.000591808979790354,0.007296255319733427,0.526710565466366,37
270,0.015995338288070583,0.26074932444587984,0.27674466273395043,"Malaga, Spain",Mauritius,0_10_38,0.0016315980229805321,0.003525359435690754,0.2555923669872086,38
362,0.017510646794673044,0.2790731377109093,0.29658378450558237,"Malaga, Spain",Mauritius,0_10_39,0.00010456017236768964,0.003808048620319062,0.2751605289182224,39
