Latency,Arrival Time
0.018868752437388784,0.018868752437388784
0.019634506415257276,0.019750883164261785
0.019342631671644947,0.019946912214678
0.020419129996794023,0.021123086517175333
0.019968308686918346,0.021319115567591553
0.02017104133744333,0.021613159143215887
0.020589766207051004,0.02220124629446455
0.02071560352580332,0.022495289870088885
0.021004209929071992,0.02288734797092133
0.021011806836956262,0.02298536249612944
0.021401618014282198,0.023377420596961886
0.02241096105002577,0.024553594899459213
0.022004187897449366,0.024749623949875434
0.022373882808147796,0.025239696575915974
0.022740706282194403,0.02572976920195653
0.022789767406833153,0.02592579825237275
0.023319056670886407,0.026611899928829518
0.023135280615885927,0.026807928979245735
0.02315001804212392,0.026905943504453852
0.023368584219440464,0.02719998708007818
0.02347400730607372,0.027396016130494402
0.023727880600505867,0.027690059706118732
0.023677570250955186,0.02778807423132684
0.024055193413828405,0.028180132332159276
0.02482456661765071,0.029160277584240377
0.02514034716455098,0.02994439378590526
0.024808349315355256,0.030042408311113374
0.02492088950120636,0.030238437361529598
0.024964334589236883,0.030434466411945815
0.02520095147865704,0.03072850998757014
0.025570673608984587,0.031218582613610695
0.026401009639240493,0.032296742390899906
0.026010214603085578,0.03239475691610802
0.02611688936390608,0.03259078596652424
0.026049839372419142,0.032688800491732346
0.026729601649856286,0.03337490216818912
0.026753814123862737,0.03386497479422967
0.02736739591329268,0.03467113515648735
0.02779224138483534,0.03546755151084869
0.028070709002049776,0.03595762413688924
0.028006039583982255,0.036119308874016195
0.02853543123435174,0.03672403476947939
0.029329429288417454,0.03778555580255407
0.028699007521074085,0.038079599378178404
0.028753907518438693,0.03817761390338651
0.028803746524455297,0.038275628428594624
0.029668339809087483,0.03915849000381911
0.029363805224481128,0.039255773680675725
0.02974608842707896,0.039647831781508165
0.03047474949250034,0.04052996250838116
0.0302560565045083,0.040627977033589266
0.030714300709499393,0.04111804965962981
0.03084723182235624,0.04141209323525415
0.03109955983972395,0.04173532740924756
0.03104959333892353,0.04180415133608659
0.032057657094301445,0.04281348718653678
0.03188205230280617,0.042924250358465844
0.032549070134175344,0.0435923215120455
0.03287469309715104,0.04415649994108123
0.03267790968809507,0.044413358771020095
0.03298699342369731,0.04474458709232989
0.03349833709257086,0.04545987936715579
0.03395461036335068,0.04633672821787268
0.033751687325034946,0.04643474274308079
0.03424383059389009,0.04699892117211642
0.035053992674587885,0.04801775759961594
0.03465848718743588,0.048077080949405646
0.035619078161827265,0.04905722620148678
0.03531793323542899,0.04917914944890797
0.0357084025042904,0.049571207549740426
0.03589331026869643,0.04993935692835981
0.03607727332436943,0.050331415029192264
0.03615677439593552,0.05075266372839374
0.03611922028091772,0.05084539637744591
0.036115015676995994,0.050919502180440945
0.036205699474406744,0.05104670730401808
0.03639539224357705,0.05123745447827836
0.03645820311887516,0.051385138707517104
0.03655477783811807,0.05154628050710792
0.03686792439992255,0.05192355615473515
0.0375329841371123,0.052903701406816286
0.03719009122527394,0.05300699780818027
0.03764742061541009,0.053497070434220834
0.037744001791972216,0.05379111400984515
0.037688333817888255,0.05390187718177422
0.038053318338940954,0.05435001056272491
0.03800292869622668,0.054575230211510034
0.038584604064633356,0.05517281793980799
0.03867306931318895,0.055624199390430396
0.039602826755786386,0.05680214381103617
0.03913501033152529,0.05692229694034894
0.039320786242003566,0.05713310844397019
0.039556553754572246,0.05738846084417644
0.03934873334777932,0.05754730514890731
0.039674684085635736,0.057878533470217
0.040561107253740035,0.05888258744451122
0.04067749897930899,0.05944676587354682
0.04089278287176655,0.05993683849958739
0.040720213239470004,0.060058761747008575
0.040749654038392924,0.06013286755000362
0.041861082959155235,0.06124971850271081
0.04155805498413616,0.06152897962513028
0.04149289488841368,0.061603085428125315
0.04223947684534009,0.062416392228159104
0.04243735167705335,0.0628772742558308
0.04312209708200766,0.06376117510081199
0.04382541744126429,0.06483756475999307
0.043640560610671605,0.06493557928520118
0.04401591341024191,0.06532763738603363
0.044489986242771576,0.06591572453728231
0.044255021835328125,0.06601373906249043
0.04482007977308465,0.06662573493595217
0.04479394174732132,0.06669984073894722
0.04507898279656887,0.06701779303678462
0.04573210218043012,0.06780190923844953
0.046545681872376815,0.06878205449053067
0.04670143026706286,0.06924821839435817
0.04694294597307801,0.06997301124623259
0.04713450838938763,0.07046308387227314
0.047351465166375374,0.07093837404510916
0.047477792745651906,0.07123241762073351
0.047466557964952825,0.07140630806704457
0.049019738297646304,0.07310947605289214
0.04934473787313852,0.07456491147780923
0.04862564163678415,0.07466820787917328
0.04875673865551217,0.074815892108412
0.04884092585613953,0.07492665528034104
0.04878175127968808,0.07496357633765072
0.04887532048879081,0.07512908990684498
0.048942409007517236,0.07532511895726121
0.049275920652963934,0.07571717705809367
0.04935953640729053,0.07583910030551462
0.05044890478918597,0.07693204253600855
0.051387620125059985,0.07836356923871274
0.05125394385948971,0.0789516563899614
0.05158979300208491,0.07946563773821458
0.05176514407777101,0.07985769583904699
0.05252947599420819,0.08081393236891543
0.052292525493633016,0.08113188466675238
0.05254414435967948,0.08140201952016407
0.05265363446881138,0.08169606309578839
0.05256378525906709,0.08179584773910456
0.052679903667742084,0.08191600086841723
0.05292059638496976,0.08221004444404155
0.054168397483145975,0.08358224779695504
0.05400267303048559,0.08395039717557484
0.05416110700594175,0.0843663639986199
0.0554426188353343,0.08573856735153339
0.05514908414470687,0.08600870220494508
0.055527371865647185,0.08650054494909401
0.05585667637694479,0.08708686198223425
0.055753969136527366,0.08718664662555081
0.05577912094476863,0.0873067997548631
0.055812350013357916,0.08738267567596705
0.05601472542467557,0.08760084333048741
